accuracy,k,dataset,split seed
0.8809523809523809,10,Seed,16
0.9047619047619048,3,Seed,17
0.8809523809523809,5,Seed,17
0.9047619047619048,10,Seed,17
0.9761904761904762,3,Seed,18
1.0,5,Seed,18
0.9761904761904762,10,Seed,18
0.8571428571428571,3,Seed,19
0.8809523809523809,5,Seed,19
0.9047619047619048,10,Seed,19
0.9047619047619048,3,Seed,20
0.9047619047619048,5,Seed,20
0.9047619047619048,10,Seed,20
0.9523809523809523,3,Seed,21
1.0,5,Seed,21
1.0,10,Seed,21
0.8809523809523809,3,Seed,22
0.8809523809523809,5,Seed,22
0.8809523809523809,10,Seed,22
0.9285714285714286,3,Seed,23
0.9761904761904762,5,Seed,23
0.9523809523809523,10,Seed,23
0.9285714285714286,3,Seed,24
0.9285714285714286,5,Seed,24
0.8809523809523809,10,Seed,24
0.9285714285714286,3,Seed,25
0.9523809523809523,5,Seed,25
0.9285714285714286,10,Seed,25
0.9285714285714286,3,Seed,26
0.9523809523809523,5,Seed,26
0.9285714285714286,10,Seed,26
0.8809523809523809,3,Seed,27
0.8809523809523809,5,Seed,27
0.8809523809523809,10,Seed,27
0.9523809523809523,3,Seed,28
0.9285714285714286,5,Seed,28
0.9285714285714286,10,Seed,28
0.9047619047619048,3,Seed,29
0.9285714285714286,5,Seed,29
0.9285714285714286,10,Seed,29
0.9523809523809523,3,Seed,30
0.9047619047619048,5,Seed,30
0.8809523809523809,10,Seed,30
0.9285714285714286,3,Seed,31
0.9523809523809523,5,Seed,31
0.9523809523809523,10,Seed,31
0.9047619047619048,3,Seed,32
0.9047619047619048,5,Seed,32
0.8809523809523809,10,Seed,32
0.9047619047619048,3,Seed,33
0.9285714285714286,5,Seed,33
0.8809523809523809,10,Seed,33
0.9047619047619048,3,Seed,34
0.9761904761904762,5,Seed,34
0.9523809523809523,10,Seed,34
0.9285714285714286,3,Seed,35
0.9047619047619048,5,Seed,35
0.9047619047619048,10,Seed,35
0.8809523809523809,3,Seed,36
0.9047619047619048,5,Seed,36
0.9047619047619048,10,Seed,36
0.9047619047619048,3,Seed,37
0.9285714285714286,5,Seed,37
0.9285714285714286,10,Seed,37
0.9523809523809523,3,Seed,38
0.9523809523809523,5,Seed,38
0.9523809523809523,10,Seed,38
0.9285714285714286,3,Seed,39
0.9285714285714286,5,Seed,39
0.9523809523809523,10,Seed,39
0.9285714285714286,3,Seed,40
0.9047619047619048,5,Seed,40
0.8809523809523809,10,Seed,40
0.9285714285714286,3,Seed,41
0.9285714285714286,5,Seed,41
0.9285714285714286,10,Seed,41
0.8571428571428571,3,Seed,42
0.9047619047619048,5,Seed,42
0.9047619047619048,10,Seed,42
0.9761904761904762,3,Seed,43
0.9523809523809523,5,Seed,43
0.9761904761904762,10,Seed,43
0.9285714285714286,3,Seed,44
0.9523809523809523,5,Seed,44
0.9285714285714286,10,Seed,44
0.9523809523809523,3,Seed,45
0.9523809523809523,5,Seed,45
0.9285714285714286,10,Seed,45
0.9285714285714286,3,Seed,46
0.9523809523809523,5,Seed,46
0.9761904761904762,10,Seed,46
0.8809523809523809,3,Seed,47
0.9047619047619048,5,Seed,47
0.8809523809523809,10,Seed,47
0.8809523809523809,3,Seed,48
0.8809523809523809,5,Seed,48
0.8809523809523809,10,Seed,48
0.9285714285714286,3,Seed,49
0.9285714285714286,5,Seed,49
0.9285714285714286,10,Seed,49
0.9444444444444444,3,Dermatology,0
0.9444444444444444,5,Dermatology,0
0.9444444444444444,10,Dermatology,0
0.9861111111111112,3,Dermatology,1
0.9722222222222222,5,Dermatology,1
0.9722222222222222,10,Dermatology,1
0.9861111111111112,3,Dermatology,2
0.9722222222222222,5,Dermatology,2
0.9722222222222222,10,Dermatology,2
0.9295774647887324,3,Dermatology,3
0.9577464788732394,5,Dermatology,3
0.9577464788732394,10,Dermatology,3
0.9577464788732394,3,Dermatology,4
0.9577464788732394,5,Dermatology,4
0.9577464788732394,10,Dermatology,4
0.9583333333333334,3,Dermatology,5
0.9583333333333334,5,Dermatology,5
0.9722222222222222,10,Dermatology,5
0.9027777777777778,3,Dermatology,6
0.9027777777777778,5,Dermatology,6
0.9166666666666666,10,Dermatology,6
0.9583333333333334,3,Dermatology,7
0.9861111111111112,5,Dermatology,7
1.0,10,Dermatology,7
0.9577464788732394,3,Dermatology,8
0.9577464788732394,5,Dermatology,8
0.971830985915493,10,Dermatology,8
