method,split seed,p,selection,labels,improvement
OBMA,13,"(0.25, 30)","[[4, 5, 6, 12, 13, 16, 21, 24, 28], [6, 11, 12, 14, 17, 18, 26, 29, 32, 34], [0, 2, 7, 12, 15, 18, 22, 24, 28, 36, 39]]","[2, 0, 1]",[nan]
OBMA,13,"(0.125, 15)","[[4, 12, 24, 28], [11, 14, 17, 18, 32], [0, 2, 7, 18, 28, 39]]","[2, 0, 1]",[nan]
OBMA,14,"(0.5, 60)","[[4, 6, 10, 11, 12, 13, 15, 17, 18, 19, 22, 24, 25, 27, 28, 29, 31, 32, 33], [1, 3, 4, 5, 6, 7, 8, 10, 11, 13, 14, 15, 17, 18, 22, 23, 29, 30, 31, 33], [0, 1, 2, 3, 7, 11, 12, 15, 17, 18, 19, 22, 23, 24, 25, 27, 30, 33, 34, 39]]","[0, 2, 1]",[nan]
OBMA,14,"(0.25, 30)","[[10, 11, 13, 17, 18, 24, 25, 29, 31], [3, 4, 8, 10, 13, 14, 15, 18, 30, 33], [0, 2, 7, 11, 12, 15, 19, 23, 24, 27, 39]]","[0, 2, 1]",[nan]
OBMA,14,"(0.125, 15)","[[10, 11, 17, 31], [4, 10, 13, 14, 33], [0, 7, 12, 19, 27, 39]]","[0, 2, 1]",[nan]
OBMA,15,"(0.5, 60)","[[2, 3, 7, 9, 11, 12, 13, 16, 17, 18, 21, 22, 23, 25, 27, 31], [1, 5, 6, 7, 8, 9, 12, 15, 16, 17, 18, 19, 20, 23, 24, 27, 29, 30, 33, 34, 36], [0, 1, 2, 3, 6, 8, 9, 13, 14, 16, 18, 20, 22, 23, 24, 26, 27, 29, 32, 36, 38, 43]]","[0, 2, 1]",[nan]
OBMA,15,"(0.25, 30)","[[2, 7, 12, 16, 17, 22, 23, 25], [5, 6, 12, 15, 16, 17, 19, 27, 33, 36], [0, 2, 6, 9, 13, 14, 16, 20, 24, 29, 38, 43]]","[0, 2, 1]",[nan]
OBMA,15,"(0.125, 15)","[[2, 7, 12, 16], [6, 16, 19, 27, 33], [0, 9, 14, 20, 29, 43]]","[0, 2, 1]",[nan]
OBMA,16,"(0.5, 60)","[[2, 5, 10, 11, 12, 13, 15, 17, 18, 19, 23, 25, 26, 27, 29, 32, 33, 34, 35], [0, 3, 4, 6, 7, 11, 12, 15, 17, 19, 20, 21, 22, 23, 27, 29, 30, 32, 35, 38], [0, 5, 6, 7, 8, 11, 12, 15, 16, 17, 19, 20, 21, 23, 24, 26, 27, 28, 33, 34, 35]]","[0, 1, 2]",[nan]
OBMA,16,"(0.25, 30)","[[5, 10, 11, 12, 13, 17, 18, 32, 35], [0, 4, 7, 11, 12, 15, 22, 23, 30, 38], [5, 6, 8, 11, 15, 16, 17, 20, 24, 28, 33]]","[0, 1, 2]",[nan]
OBMA,16,"(0.125, 15)","[[12, 17, 32, 35], [7, 12, 15, 22, 38], [6, 11, 15, 16, 28, 33]]","[0, 1, 2]",[nan]
OBMA,17,"(0.5, 60)","[[1, 2, 3, 4, 5, 6, 9, 12, 13, 17, 18, 20, 21, 24, 25, 28, 30, 31], [0, 1, 2, 3, 6, 7, 9, 11, 14, 16, 17, 18, 20, 22, 23, 24, 25, 28, 32, 34], [1, 2, 4, 9, 10, 11, 12, 14, 16, 18, 19, 20, 21, 25, 27, 28, 30, 32, 35, 36, 37, 38]]","[2, 1, 0]",[nan]
OBMA,17,"(0.25, 30)","[[2, 4, 5, 6, 9, 12, 13, 21, 28], [0, 2, 3, 7, 11, 14, 18, 22, 25, 34], [9, 10, 11, 14, 18, 19, 20, 28, 32, 35, 38]]","[2, 1, 0]",[nan]
OBMA,17,"(0.125, 15)","[[9, 12, 21, 28], [0, 7, 18, 22, 25], [9, 11, 14, 18, 19, 35]]","[2, 1, 0]",[nan]
OBMA,18,"(0.5, 60)","[[0, 1, 2, 4, 6, 9, 11, 14, 15, 18, 19, 21, 22, 24, 26, 27, 30, 34], [4, 5, 6, 7, 8, 9, 12, 13, 14, 16, 17, 20, 23, 25, 26, 29, 31, 32, 38], [2, 3, 5, 7, 11, 12, 13, 14, 16, 18, 20, 21, 22, 27, 28, 29, 32, 33, 36, 37, 38, 39]]","[1, 2, 0]",[nan]
OBMA,18,"(0.25, 30)","[[0, 6, 9, 15, 19, 24, 26, 30, 34], [4, 5, 8, 9, 12, 13, 17, 20, 23], [7, 11, 12, 13, 16, 18, 20, 21, 29, 33, 36, 39]]","[1, 2, 0]",[nan]
OBMA,18,"(0.125, 15)","[[0, 6, 24, 34], [5, 8, 13, 23], [11, 12, 13, 20, 21, 36, 39]]","[1, 2, 0]",[nan]
OBMA,19,"(0.5, 60)","[[0, 1, 2, 3, 6, 7, 8, 12, 13, 17, 20, 21, 22, 24, 25, 27, 29, 32, 38], [4, 6, 10, 11, 12, 14, 16, 17, 18, 19, 20, 23, 25, 26, 28, 29, 30, 32, 33, 35], [0, 4, 5, 6, 7, 8, 11, 14, 16, 17, 19, 20, 21, 24, 27, 28, 29, 30, 32, 33]]","[1, 0, 2]",[nan]
OBMA,19,"(0.25, 30)","[[0, 6, 8, 13, 17, 22, 24, 27, 38], [10, 11, 14, 17, 18, 19, 26, 30, 32, 35], [4, 6, 7, 8, 14, 16, 17, 27, 28, 29, 32]]","[1, 0, 2]",[nan]
OBMA,19,"(0.125, 15)","[[0, 8, 27, 38], [10, 11, 17, 32, 35], [4, 6, 14, 17, 29, 32]]","[1, 0, 2]",[nan]
