method,split seed,p,selection,labels,improvement
OBMA,12,"(0.25, 42)","[[6, 13, 17, 23, 27, 29, 33, 40, 41, 44, 45, 46, 51], [1, 2, 8, 16, 17, 22, 26, 29, 33, 42, 43, 46, 48, 51], [3, 10, 12, 13, 17, 18, 21, 34, 35, 40, 45, 48, 51, 53, 56]]","[1, 3, 2]",[nan]
OBMA,12,"(0.125, 21)","[[6, 13, 27, 33, 44, 46], [8, 16, 24, 29, 46, 48, 51], [3, 13, 18, 21, 35, 45, 51, 56]]","[1, 3, 2]",[nan]
OBMA,13,"(0.5, 84)","[[3, 8, 9, 10, 12, 14, 15, 17, 22, 23, 25, 28, 29, 31, 32, 34, 36, 37, 42, 43, 44, 45, 46, 47, 48, 49, 54], [1, 2, 4, 6, 8, 10, 13, 15, 17, 18, 20, 21, 22, 23, 25, 26, 28, 29, 30, 37, 38, 41, 44, 46, 48, 49, 50, 53], [2, 4, 5, 6, 9, 10, 13, 14, 15, 16, 20, 22, 28, 32, 33, 34, 35, 36, 37, 39, 42, 44, 46, 48, 51, 52, 54, 55]]","[1, 3, 2]",[nan]
OBMA,13,"(0.25, 42)","[[3, 8, 10, 15, 17, 22, 28, 29, 32, 34, 44, 47, 48], [1, 8, 13, 15, 21, 26, 28, 29, 30, 37, 44, 48, 50, 53], [2, 13, 14, 15, 16, 22, 33, 35, 39, 42, 44, 46, 51, 54, 55]]","[1, 3, 2]",[nan]
OBMA,13,"(0.125, 21)","[[3, 10, 22, 32, 47, 48], [13, 15, 26, 28, 44, 48, 53], [13, 14, 15, 22, 35, 44, 51, 55]]","[1, 3, 2]",[nan]
OBMA,14,"(0.5, 84)","[[1, 2, 4, 8, 10, 11, 14, 16, 17, 20, 21, 23, 24, 25, 28, 30, 31, 33, 37, 39, 40, 44, 46, 47, 48, 51], [3, 6, 7, 10, 11, 14, 15, 16, 17, 21, 24, 29, 32, 33, 34, 35, 36, 39, 41, 42, 43, 45, 49, 50, 52, 54, 55, 56], [2, 3, 7, 8, 9, 10, 12, 13, 14, 18, 19, 20, 23, 25, 26, 28, 29, 32, 34, 41, 42, 44, 46, 48, 49, 50, 51, 57, 58]]","[3, 2, 1]",[nan]
OBMA,14,"(0.25, 42)","[[1, 2, 14, 16, 24, 28, 30, 37, 39, 44, 46, 48, 51], [3, 6, 15, 16, 21, 29, 32, 33, 35, 43, 45, 52, 54, 56], [2, 7, 9, 13, 14, 18, 19, 20, 23, 25, 34, 41, 48, 49, 50]]","[3, 2, 1]",[nan]
OBMA,14,"(0.125, 21)","[[1, 2, 14, 28, 37, 46], [14, 16, 21, 35, 45, 54, 56], [7, 13, 14, 19, 34, 42, 48, 50]]","[3, 2, 1]",[nan]
OBMA,15,"(0.5, 84)","[[0, 2, 6, 7, 8, 9, 11, 12, 16, 17, 18, 21, 25, 26, 28, 29, 30, 37, 38, 39, 41, 42, 44, 45, 46, 52], [3, 6, 9, 10, 14, 15, 16, 19, 20, 23, 24, 31, 33, 34, 35, 36, 37, 38, 41, 43, 44, 45, 47, 50, 52, 53, 54, 55], [0, 1, 7, 8, 9, 11, 14, 16, 19, 20, 22, 23, 24, 25, 28, 29, 31, 35, 38, 39, 42, 43, 46, 48, 50, 51, 52, 53, 55]]","[1, 2, 3]",[nan]
OBMA,15,"(0.25, 42)","[[2, 6, 8, 12, 16, 17, 21, 26, 28, 41, 42, 44, 45], [3, 10, 15, 16, 20, 23, 35, 37, 41, 45, 47, 50, 52, 55], [0, 1, 7, 8, 14, 16, 29, 31, 39, 42, 43, 46, 50, 51, 55]]","[1, 2, 3]",[nan]
OBMA,15,"(0.125, 21)","[[2, 6, 12, 17, 41, 45], [3, 16, 20, 23, 37, 47, 55], [7, 14, 16, 29, 46, 50, 51, 55]]","[1, 2, 3]",[nan]
OBMA,16,"(0.5, 84)","[[3, 8, 9, 10, 12, 14, 15, 16, 19, 20, 21, 26, 28, 31, 32, 33, 35, 36, 39, 41, 43, 45, 46, 47, 48, 53, 54], [2, 5, 6, 7, 9, 10, 13, 14, 15, 16, 17, 19, 20, 22, 31, 32, 33, 34, 37, 40, 42, 46, 47, 48, 50, 52, 54, 55], [1, 2, 5, 8, 10, 13, 14, 16, 17, 20, 21, 23, 24, 25, 28, 29, 31, 33, 34, 38, 39, 42, 43, 46, 48, 50, 52, 55]]","[1, 2, 3]",[nan]
OBMA,16,"(0.25, 42)","[[3, 8, 10, 15, 16, 21, 26, 28, 32, 35, 45, 46, 47], [14, 15, 16, 20, 22, 31, 33, 40, 42, 46, 48, 50, 52, 54], [1, 13, 14, 16, 21, 25, 28, 29, 31, 33, 38, 46, 50, 52, 55]]","[1, 2, 3]",[nan]
OBMA,16,"(0.125, 21)","[[15, 21, 32, 41, 45, 47], [14, 15, 20, 22, 40, 42, 50], [13, 17, 25, 29, 46, 50, 52, 55]]","[1, 2, 3]",[nan]
OBMA,17,"(0.5, 84)","[[2, 5, 6, 9, 10, 12, 16, 17, 18, 20, 24, 25, 28, 29, 31, 32, 33, 34, 40, 41, 43, 44, 45, 47, 48, 52, 53], [0, 5, 6, 12, 13, 15, 16, 18, 19, 20, 21, 22, 23, 26, 27, 29, 31, 32, 36, 40, 41, 43, 44, 46, 47, 49, 50], [1, 2, 4, 5, 7, 9, 13, 14, 15, 16, 19, 22, 31, 33, 34, 35, 36, 37, 38, 40, 42, 43, 45, 49, 51, 53, 54, 56, 57]]","[1, 3, 2]",[nan]
